CCF ID,DOMAIN,NAME,Description,CIS Appliclibity,CIS ref
IAM-29,Identity and Access Management,Least Privilege,Role-based access is defined and deployed to restrict privileged access to information resources based on the concept of least privilege.,X,"3.3
5.4
6.8
12.2"
IAM-30,Identity and Access Management,Virtual Private Network,Remote connections to the corporate network are accessed via VPN through managed gateways.,X,"12.7
13.5"
IAM-31,Identity and Access Management,Virtual Private Network: Restrict Split-Tunneling,VPN configurations restrict split-tunneling capabilities.,,
IAM-32,Identity and Access Management,Ability to Disable Remote Sessions,Organization has a defined process and mechanisms in place to expeditiously disable or disconnect remote access to information systems within a defined time frame based on business need.,X,13.5
IAM-33,Identity and Access Management,Remote Maintenance: Authentication Sessions,"Vendor accounts used for remote access are enabled only during the time period needed, disabled when not in use, and monitored while in use.",X,13.5
IAM-34,Identity and Access Management,Remote Maintenance: Unique Authentication Credentials for each Customer,"Where applicable, Service providers with remote access to customer premises (e.g., for support of POS systems or servers) must use a unique authentication credential (such as a password/phrase) for each customer.",,
IAM-35,Identity and Access Management,Remote Maintenance: Authentication,"Remote maintenance and diagnostic tool utilization are restricted to the minimum required level, strong authentication is required, and remote sessions are recorded. ",,
IAM-36,Identity and Access Management,Remote Maintenance: Audit,"Organization documents and maintains records for vendor remote maintenance, diagnostic activities, and permissions granted. A listing of vendor remote maintenance connections is documented as well.",,
IAM-37,Identity and Access Management,End-user Environment Segmentation,"Where applicable, processes that run as part of an Organization shared hosting platform will run under unique credentials that permit access to only one customer environment.",,
IAM-38,Identity and Access Management,End-user Access to Applications and Data,"Organization applications secure user data and maintain confidentiality by default or according to permissions set by the individual; Organization authenticates individuals with unique identifiers and passwords prior to enabling access to: 
• use the application 
• view or modify their own data",,
IAM-39,Identity and Access Management,Hardware Tokens,"Where applicable, hardware token-based authentication is facilitated only by approved organizations.",,
IR-01,Incident Response,Incident Response Plan,"Organization defines the types of incidents that need to be managed, tracked and reported, including:
• procedures for the identification and management of incidents 
• procedures for the resolution of confirmed incidents
• key incident response systems
• incident coordination and communication strategy
• contact method for internal parties to report incidents
• support team contact information
• notification to relevant management in the event of a security breach
• provisions for updating and communicating the plan
• provisions for training of support team
• preservation of incident information
• management review and approval, annually, or when major changes to the organization occur",X,"17.1
17.4
17.8
17.9"
IR-02,Incident Response,Incident Response Testing,Organization tests incident response processes on an annual basis. Results from the tests are documented.,X,17.7
IR-03,Incident Response,Incident Response,"Confirmed incidents are assigned a priority level and managed to resolution. If applicable, Organization coordinates the incident response with business contingency activities.",X,17.9
IR-04,Incident Response,External Communication of Incidents,"Organization defines external communication requirements for incidents, including:
• information about external party dependencies
• criteria for notification to external parties as required by Organization policy in the event of a security breach
• contact information for authorities (e.g., law enforcement, regulatory bodies, etc.)
• provisions for updating and communicating external communication requirement changes",X,"17.2
17.6"
IR-05,Incident Response,Incident Reporting Contact Information,"Organization provides a contact method to:
• submit complaints and inquiries
• report incidents",X,17.3
IR-06,Incident Response,Incident External Communication,Organization communicates a response to external stakeholders as required by the Incident Response Plan.,X,"17.4
17.6"
IR-07,Incident Response,External Communication of Incidents: Protected Health Information,"Organization communicates the discovery and status of the breach of Protected Health Information (PHI) to the covered entity within 60 days or as required by the Business Associates Agreement (BAA) and provides the following information if available:
• description of the Event
• description of the Information that was compromised
• identification of the Individuals whose PHI were compromised
• steps Required to Protect Individuals
• investigation Plan
• contact Information",,
IR-08,Incident Response,Problem Management,Organization resolves customer support inquiries.,,
MDM-01,Mobile Device Management,Mobile Device Enrollment,"Mobile devices (i.e., laptops, smartphones, tablets) must be configured with the appropriate Mobile Device Management (MDM) profile when used as a medium to access Organization internal resources.",X,"1.1
4.11
4.12"
MDM-02,Mobile Device Management,Mobile Device Encryption,"Mobile devices (i.e., laptops, smartphones, tablets) that are used to access data from Organization internal resources are encrypted.",X,"3.6
3.9"
MDM-03,Mobile Device Management,Configuration Management: Mobile Devices,"Organization Mobile devices (i.e., laptops, smartphones, tablets) are configured to ensure unnecessary hardware capabilities and functionalities are disabled, and management defined security features are enabled.",X,"4.3
4.8"
MDM-04,Mobile Device Management,Configuration Management: High Risk Travel Locations,"Organization has a documented list of travel locations considered high risk for the use of mobile devices (i.e., laptops, smartphones, tablets). Employees procure alternate equipment before traveling to these locations.",,
NO-01,Network Operations,Network Policy Enforcement Points,Network traffic to and from untrusted networks passes through a policy enforcement point; firewall rules are established in accordance with identified security requirements and business justifications.,X,"4.4
4.5
12.5"
NO-02,Network Operations,Inbound and Outbound Network Traffic: DMZ Requirements,Network traffic to and from untrusted networks passes through a Demilitarized Zone (DMZ).,,
NO-03,Network Operations,Ingress and Egress Points,"Organization maintains an inventory of ingress and egress points on the production network and performs the following for each: 
• inventory is reduced to the minimum possible level
• permitted ports, protocols and services are inventoried and validated
• documents security features that are implemented for insecure protocols",X,"4.5
4.6
12.1
12.2
12.6
13.9"
NO-04,Network Operations,Non-disclosure of Routing Information,Organization does not disclose private IP addresses and routing information to unauthorized parties.,,
NO-05,Network Operations,Dynamic Packet Filtering,"Where applicable, Organization enables dynamic packet filtering on the network.",X,"9.3
13.4
13.10"
NO-06,Network Operations,Firewall Rule Set Review,Network infrastructure rule sets are reviewed every 6 months.,,
NO-07,Network Operations,Ingress and Egress Points: Fail Secure,"The information system fails securely in the event of an operational failure of a boundary protection device.
",,
NO-08,Network Operations,Traffic Flow: Managed Proxy,Organization requires egress traffic initiated from within the Organization network to pass through a managed proxy.,X,13.10
NO-09,Network Operations,Domain Name Services Security Extensions (DNSSec),Organization establishes a DNSSec implementation standard and uses mechanisms to verify the DNS infrastructure for compliance.,X,"4.9
9.2"
NO-10,Network Operations,Email Spam Protection,"Organization has documented procedures and protection mechanisms in place to protect its information and information systems from spam and ensures that signature definitions are updated whenever new releases are available.
",X,"9.1
9.5
9.6"
NO-11,Network Operations,Denial of Service (DOS),"Organization implements a Denial of Service (DOS) protection plan, identifies threatening DOS attacks, and configures boundary protection devices according to the DOS plan.",,
NO-12,Network Operations,Trusted Connections,"All trusted connections are documented and approved by authorized personnel; management ensures the following documentation is in place prior to approval: 
• agreement with vendor
• security requirements
• nature of transmitted information",X,12.4
NO-13,Network Operations,Network Segmentation,Production environments are logically segregated from non-production environments.,X,16.8
NO-14,Network Operations,Card Processing Environment Segmentation,"Where applicable, Organization segregates the Primary Account Number (PAN) infrastructure including payment card collection devices; Organization limits access to the segregated environment to authorized personnel.",,
NO-15,Network Operations,Traffic Flow,"Organization documents the approved traffic flow at each managed interface and configures the managed interface accordingly. Exceptions to traffic flow are documented, reviewed periodically, and removed when there is no longer a business requirement.",X,12.4
NO-16,Network Operations,Disable Rogue Wireless Access Points,Organization employs mechanisms to detect and disable the use of unauthorized wireless access points.,,
NO-17,Network Operations,Wireless Access Points,Organization maintains an inventory of authorized wireless access points including a documented business justification.,,
NO-18,Network Operations,Authentication: Wireless Access Points,Organization restricts access to network services via wireless access points to authenticated users and services; approved wireless encryption protocols are required for wireless connections.,X,"12.5
12.6"
PR-01,People Resources,Background Checks,New hires are required to pass a background check as a condition of their employment.,,
PR-02,People Resources,Performance Management,Organization has established a check-in performance management process for on-going dialogue between managers and employees. Quarterly reminders are sent to managers to perform their regular check-in conversation.,,
PR-03,People Resources,Hiring Process,Job candidates apply for roles that are listed on the Organization career portal; candidates are interviewed to determine their knowledge and competence for their prospective roles and compatibility with Organization values.,,
PR-04,People Resources,Organization Property Collection,"Upon employee termination, management is notified to collect Organization property from the terminated employee.
",,
PR-05,People Resources,Exit Interviews,"Upon employee termination, management conducts exit interviews for the terminated employee.",,
PR-06,People Resources,Disciplinary Process,Employees that fail to comply with Organization policies are subject to a disciplinary process.,,
PR-07,People Resources,Code of Ethics,Organization has a Code of Ethics for Senior Officers. The Senior Officers and CEO certify that they understand the Code on an annual basis.,,
PR-08,People Resources,Business Ethics Hotline,Organization has a business ethics hotline for employees and external parties to report ethical misconduct. Allegations are investigated and Organization will take appropriate action for confirmed violations. Hotline reports are reported to the Audit Committee on a quarterly basis.,,
PR-09,People Resources,National Security Clearance,"Organization conducts screening and rescreening of authorized personnel for roles that require national security clearances. For national security clearances; a reinvestigation is required during the 5th year for top secret security clearance, the 10th year for secret security clearance, and 15th year for confidential security clearance. In addition, for law enforcement and high impact public trust level, a reinvestigation is required during the 5th year.",,
PR-10,People Resources,Code of Business Conduct,"Organization has documented the Code of Business Conduct and Business Partner Code of Conduct, which are reviewed, updated if applicable, and approved by senior management annually.",,
PRIV-01,Privacy,Privacy Program,"Organization privacy policies for individuals, including relevant updates, are communicated on the public company website or on the internal corporate network.",,
PRIV-02,Privacy,Privacy Program Review,"On an annual basis, Organization performs a review of privacy practices to ensure the following:
• consent is obtained for users whose personal information (PI) is managed by Organization
• PI inventory integrity and accuracy
• data access request response template is understandable
• standard agreement templates are up-to-date
• requests to delete, access or update PI are processed accurately and within a timeframe consistent with Organization policy
• compliance with Organization's privacy commitments
• known privacy issues are remediated
• opt-in and opt-out compliance with applicable law
• Organization privacy documentation and practices are relevant to applicable law
• compliance with relevant industry Codes of Conduct (e.g., EDAA)
• if applicable, joint controller responsibilities are clearly defined and communicated to both data controllers and the data subject",,
PRIV-03,Privacy,Privacy Readiness Review,Organization performs privacy readiness reviews to identify high-risk processing activities that impact personal data; identified non-compliance with Organization privacy practices is tracked through remediation.,,
PRIV-04,Privacy,Privacy Notice,"Individuals are given appropriate notice and an opportunity to consent or decline to Organization privacy practices such as accessing, collecting, processing, transferring, or storing personal information.",,
PRIV-05,Privacy,Personal Information Notice and Consent: Additional Processing Activities,"Where appropriate, Organization obtains individual consent for processing activities for which consent has not been previously obtained.",,
PRIV-06,Privacy,Notice of Personal Information Disclosure,"In accordance with Organization policy, Organization provides notice to individuals regarding legally-required disclosures of personal information.",,
PRIV-07,Privacy,PII Processing Agreements,Personal information is handled and processed in accordance with contractual requirements.,,
PRIV-08,Privacy,Record of Processing Activity,"Organization documents, reviews, and approves a record of processing activities related to personal information.",,
PRIV-09,Privacy,Document Management Standard: HIPAA,"Documentation that impacts personal health information, including policies, procedures, and the documentation of actions, activities, or assessments, are retained for 6 years from the date of its creation, or the date when it last was in effect, whichever is later.",,
PRIV-10,Privacy,Law Enforcement Requests,Law enforcement agencies may submit requests for evidence; submitted requests are reviewed and tracked to resolution.,,
